epoch,elapsed (s),Loss,IC,BC,F
0,0.19,2.979e+00,2.937e+00,3.533e-33,4.179e-02
1000,143.12,1.105e-02,9.363e-03,1.134e-32,1.691e-03
2000,292.61,8.470e-04,2.751e-04,1.389e-32,5.719e-04
3000,439.64,2.429e-04,4.924e-05,1.652e-32,1.937e-04
4000,2750.24,1.116e-04,2.677e-05,1.791e-32,8.480e-05
5000,2896.99,5.224e-05,1.268e-05,1.512e-32,3.956e-05
6000,3046.28,2.107e-05,1.914e-06,1.767e-32,1.915e-05
7000,3191.74,9.767e-06,4.616e-07,1.824e-32,9.306e-06
8000,3336.89,4.795e-06,1.914e-07,1.635e-32,4.604e-06
9000,3480.64,2.763e-06,1.661e-07,1.923e-32,2.597e-06
10000,3624.68,1.846e-06,2.049e-07,1.372e-32,1.641e-06
11000,3769.54,1.075e-06,1.836e-07,1.471e-32,8.919e-07
12000,3916.24,8.353e-07,1.766e-07,1.282e-32,6.587e-07
13000,4062.13,6.661e-07,2.555e-07,1.742e-32,4.106e-07
14000,4206.48,1.268e-06,3.400e-07,1.446e-32,9.279e-07
15000,4355.86,3.609e-07,1.236e-07,1.923e-32,2.373e-07
16000,4503.69,3.986e-07,1.185e-07,1.997e-32,2.801e-07
17000,4650.96,3.814e-07,1.557e-07,1.594e-32,2.257e-07
18000,4798.36,2.678e-07,1.036e-07,1.956e-32,1.642e-07
19000,4948.20,2.320e-07,1.000e-07,1.085e-32,1.319e-07
20000,5102.46,2.229e-07,9.944e-08,2.120e-32,1.235e-07
