epoch,elapsed (s),Loss,IC,BC,F
0,0.00,9.438e+00,3.595e+00,5.843e+00,7.759e-05
1000,3.94,5.476e-02,4.201e-02,9.900e-03,2.843e-03
2000,7.85,4.019e-02,2.274e-02,9.691e-03,7.761e-03
3000,11.73,1.106e-02,6.262e-03,1.906e-03,2.893e-03
4000,15.62,7.139e-03,4.810e-03,1.373e-03,9.557e-04
5000,19.55,4.603e-03,3.029e-03,8.585e-04,7.158e-04
6000,23.48,1.911e-03,9.766e-04,4.254e-04,5.089e-04
7000,27.40,7.114e-04,2.921e-04,1.485e-04,2.708e-04
8000,31.52,2.609e-04,9.937e-05,6.448e-05,9.709e-05
9000,35.57,3.538e-04,1.035e-04,7.983e-05,1.705e-04
10000,39.80,1.734e-03,3.660e-05,3.523e-05,1.662e-03
11000,43.95,6.609e-05,2.176e-05,1.849e-05,2.584e-05
12000,47.98,1.353e-04,2.611e-05,1.795e-05,9.124e-05
13000,51.85,4.598e-05,1.326e-05,1.025e-05,2.246e-05
14000,55.72,3.216e-04,1.759e-05,2.172e-05,2.822e-04
15000,59.62,3.235e-05,6.337e-06,5.205e-06,2.081e-05
16000,63.55,5.041e-05,4.509e-06,3.818e-06,4.208e-05
17000,67.44,2.235e-05,3.082e-06,2.540e-06,1.672e-05
18000,71.35,4.759e-05,1.056e-05,2.929e-06,3.410e-05
19000,75.22,4.198e-04,3.627e-06,7.851e-06,4.083e-04
20000,79.15,2.558e-05,2.322e-06,1.567e-06,2.169e-05
