epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,0.14,1.2614e+00,1.0889e+00,4.1424e-01,1.3110e+03
100,11.73,3.3105e-01,2.0629e-01,1.3259e-02,1.2344e+03
200,23.81,1.4517e-01,6.4221e-02,1.5875e-03,8.0785e+02
300,36.38,6.6287e-02,1.4977e-02,2.5227e-04,5.1285e+02
400,49.02,3.2010e-02,4.3110e-03,2.0128e-05,2.7697e+02
500,61.58,1.5007e-02,1.5847e-03,4.0596e-05,1.3419e+02
600,74.21,7.6241e-03,6.2605e-04,6.2812e-05,6.9918e+01
700,88.10,4.4272e-03,2.7028e-04,6.2463e-06,4.1563e+01
800,101.64,2.7866e-03,1.2728e-04,4.7598e-06,2.6589e+01
900,114.90,1.8400e-03,6.6310e-05,1.5205e-06,1.7735e+01
1000,127.55,1.4818e-03,3.9828e-05,2.2787e-03,1.2141e+01
1100,140.86,9.3123e-04,1.9182e-05,9.5614e-07,9.1195e+00
1200,153.58,7.2978e-04,1.0693e-05,5.9418e-06,7.1849e+00
1300,165.96,6.0683e-04,6.4127e-06,5.8581e-07,6.0035e+00
1400,177.96,5.2241e-04,4.0848e-06,1.4450e-07,5.1831e+00
1500,189.62,4.7950e-04,2.8552e-06,1.8585e-04,4.5806e+00
1600,201.33,4.1513e-04,2.0434e-06,1.4512e-08,4.1309e+00
1700,212.94,3.7636e-04,1.5603e-06,5.9217e-08,3.7479e+00
1800,224.54,4.1868e-04,1.3819e-06,7.5532e-04,3.4177e+00
