epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,0.12,1.7247e+00,6.3284e-01,6.8393e-02,1.0850e+04
100,6.99,4.5402e-01,3.0928e-01,3.5964e-02,1.4115e+03
200,13.31,2.9579e-01,1.8097e-01,1.2406e-02,1.1358e+03
300,19.23,1.8533e-01,9.8347e-02,4.5958e-03,8.6519e+02
400,25.18,1.1227e-01,4.8855e-02,1.7144e-03,6.3245e+02
500,31.16,6.4770e-02,2.2420e-02,5.5714e-04,4.2294e+02
600,37.10,4.1824e-02,1.0453e-02,7.5019e-04,3.1296e+02
700,43.57,3.1729e-02,5.3734e-03,8.8143e-05,2.6347e+02
800,49.99,2.6666e-02,3.1123e-03,4.5972e-05,2.3549e+02
900,56.44,2.3403e-02,2.1510e-03,1.7507e-05,2.1250e+02
1000,62.86,2.0342e-02,1.7244e-03,1.5964e-05,1.8616e+02
1100,69.30,1.7412e-02,1.4104e-03,3.0251e-05,1.5998e+02
1200,75.70,1.4795e-02,1.1538e-03,2.6777e-06,1.3641e+02
1300,82.08,1.2564e-02,9.5253e-04,1.8837e-05,1.1610e+02
1400,88.53,1.0506e-02,8.0069e-04,7.1330e-06,9.7043e+01
1500,94.95,8.6432e-03,6.6941e-04,8.0302e-07,7.9737e+01
1600,101.41,6.9554e-03,5.4835e-04,5.7373e-06,6.4065e+01
1700,107.69,5.5112e-03,4.3145e-04,7.4344e-05,5.0723e+01
1800,113.54,4.3014e-03,3.3633e-04,3.6001e-06,3.9647e+01
