epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,0.13,1.4137e+00,8.9273e-01,7.5970e-01,4.4497e+03
100,9.42,5.6680e-01,3.6012e-01,1.0971e-01,1.9571e+03
200,19.08,4.4337e-01,2.4933e-01,4.1634e-02,1.8988e+03
300,28.57,2.7013e-01,1.1607e-01,9.5099e-03,1.5311e+03
400,38.06,1.2123e-01,4.0497e-02,1.7052e-03,8.0560e+02
500,47.74,7.2498e-02,1.3846e-02,2.4863e-03,5.8403e+02
600,57.36,6.1824e-02,8.8239e-03,1.6491e-04,5.2983e+02
700,66.99,5.4889e-02,7.0898e-03,1.0659e-04,4.7789e+02
800,76.62,4.8969e-02,6.0157e-03,1.0545e-03,4.2847e+02
900,86.40,4.3228e-02,5.2683e-03,5.9800e-05,3.7953e+02
1000,96.44,3.7946e-02,4.5454e-03,4.2093e-05,3.3396e+02
1100,106.46,3.3149e-02,3.8487e-03,6.1979e-05,2.9294e+02
1200,116.50,2.8794e-02,3.2270e-03,1.6471e-05,2.5566e+02
1300,126.90,2.5017e-02,2.6630e-03,1.4939e-05,2.2352e+02
1400,136.88,2.1756e-02,2.1876e-03,4.7747e-06,1.9568e+02
1500,146.56,1.9257e-02,1.7858e-03,2.7243e-03,1.7199e+02
1600,156.39,1.6751e-02,1.4410e-03,2.4257e-07,1.5310e+02
1700,166.76,1.4880e-02,1.1639e-03,5.6933e-05,1.3710e+02
1800,176.72,1.3411e-02,9.3760e-04,1.6622e-06,1.2474e+02
