epoch,elapsed (s),Loss,IC,BC,F
0,0.02,4.2640e+00,4.2640e+00,8.0494e-06,1.7843e-05
1000,10.78,2.0878e-02,2.0711e-02,3.0370e-05,1.3742e-04
2000,21.81,1.0919e-02,7.8448e-03,1.5295e-03,1.5448e-03
3000,32.47,4.9118e-03,1.8915e-03,1.9575e-03,1.0628e-03
4000,43.06,3.2261e-03,8.8913e-04,1.2404e-03,1.0966e-03
5000,54.16,1.6965e-03,2.9325e-04,8.2863e-04,5.7466e-04
6000,64.48,2.3935e-04,4.5536e-05,1.0703e-04,8.6786e-05
7000,74.95,3.2193e-04,5.2026e-05,1.9160e-04,7.8311e-05
8000,85.69,1.9945e-04,3.1830e-05,9.2028e-05,7.5588e-05
9000,97.47,5.8484e-05,1.1870e-05,2.9379e-05,1.7234e-05
10000,108.15,1.0970e-05,3.5739e-06,2.5056e-06,4.8904e-06
11000,118.73,7.2694e-06,3.6800e-06,4.5367e-07,3.1357e-06
12000,129.83,6.3440e-06,2.8495e-06,8.1056e-07,2.6840e-06
13000,141.32,6.4782e-06,3.3638e-06,1.4621e-06,1.6523e-06
14000,152.80,1.8214e-06,6.2076e-07,2.8619e-07,9.1441e-07
15000,164.24,3.8636e-06,2.5003e-06,7.0959e-07,6.5374e-07
16000,175.73,1.6135e-06,5.6836e-07,4.2397e-07,6.2114e-07
17000,187.27,1.4045e-06,6.0648e-07,2.8651e-07,5.1148e-07
18000,198.09,3.3911e-06,2.5005e-06,4.2008e-07,4.7056e-07
19000,208.58,7.3278e-07,2.3428e-07,1.5453e-07,3.4397e-07
20000,219.08,1.3462e-06,5.0177e-07,2.4868e-07,5.9577e-07
